epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,13295.9,1.1598,0.65684,1.07889,0.82594,0.88551,0.9206,0.59715,1.2877,0.6997,1.12313,0.000713,0.000713,0.000713
67,13495.4,1.16838,0.66192,1.07241,0.82537,0.8878,0.91935,0.60512,1.28377,0.67329,1.12847,0.0006932,0.0006932,0.0006932
68,13692.8,1.15493,0.6523,1.07067,0.82437,0.89005,0.91185,0.59932,1.27566,0.68701,1.11932,0.0006734,0.0006734,0.0006734
69,13888.9,1.1455,0.63388,1.07222,0.82059,0.90006,0.91136,0.58771,1.31833,0.70168,1.12924,0.0006536,0.0006536,0.0006536
70,14086.1,1.14361,0.6431,1.05534,0.82329,0.88909,0.91668,0.59343,1.28306,0.70064,1.13268,0.0006338,0.0006338,0.0006338
71,14286.7,1.13763,0.63241,1.06067,0.80572,0.89624,0.91204,0.59736,1.29613,0.69488,1.12989,0.000614,0.000614,0.000614
72,14490.3,1.13622,0.62094,1.0633,0.80492,0.89803,0.913,0.59954,1.29134,0.70143,1.12886,0.0005942,0.0005942,0.0005942
73,14695.5,1.15448,0.63267,1.06844,0.80232,0.90758,0.91532,0.5921,1.30978,0.6976,1.14122,0.0005744,0.0005744,0.0005744
74,14899.4,1.14103,0.62143,1.06665,0.8153,0.89234,0.91314,0.59319,1.28325,0.69513,1.12687,0.0005546,0.0005546,0.0005546
75,15097.8,1.12538,0.61439,1.05906,0.84278,0.87265,0.91506,0.60341,1.28356,0.69048,1.13039,0.0005348,0.0005348,0.0005348
76,15290.7,1.13425,0.60475,1.05467,0.83188,0.8873,0.91838,0.59779,1.2942,0.69733,1.1314,0.000515,0.000515,0.000515
77,15488.3,1.11816,0.60997,1.05267,0.82103,0.90275,0.9164,0.5966,1.29778,0.68496,1.14416,0.0004952,0.0004952,0.0004952
78,15688.4,1.11107,0.61034,1.05531,0.83821,0.84794,0.91025,0.58425,1.28902,0.7013,1.13072,0.0004754,0.0004754,0.0004754
79,15887.7,1.13008,0.61109,1.05779,0.82758,0.86941,0.9185,0.60429,1.27808,0.69028,1.12662,0.0004556,0.0004556,0.0004556
80,16086.5,1.1071,0.59742,1.05373,0.83182,0.87597,0.91254,0.59075,1.29401,0.69993,1.13739,0.0004358,0.0004358,0.0004358
81,16283.1,1.11187,0.60597,1.05619,0.84043,0.86047,0.91881,0.59644,1.27934,0.69361,1.12385,0.000416,0.000416,0.000416
82,16485.5,1.09704,0.58532,1.04509,0.82857,0.90161,0.91739,0.60173,1.2824,0.67789,1.14004,0.0003962,0.0003962,0.0003962
83,16686.4,1.10349,0.59254,1.05613,0.84423,0.88014,0.922,0.60467,1.27625,0.68625,1.13331,0.0003764,0.0003764,0.0003764
84,16891.6,1.11332,0.58945,1.05398,0.86139,0.84488,0.91532,0.60387,1.28935,0.69257,1.12885,0.0003566,0.0003566,0.0003566
85,17093.9,1.08699,0.58257,1.04772,0.84515,0.87657,0.91846,0.59744,1.29839,0.68423,1.13219,0.0003368,0.0003368,0.0003368
86,17294.1,1.09842,0.59648,1.04853,0.85114,0.86941,0.9155,0.60014,1.29948,0.67955,1.13285,0.000317,0.000317,0.000317
87,17491,1.09189,0.58256,1.04861,0.83402,0.86762,0.91288,0.59458,1.30844,0.70499,1.14794,0.0002972,0.0002972,0.0002972
88,17686.1,1.07946,0.576,1.03692,0.82504,0.88575,0.90972,0.59459,1.30159,0.69997,1.13747,0.0002774,0.0002774,0.0002774
89,17882.9,1.08024,0.58208,1.04725,0.83419,0.85502,0.91197,0.595,1.30929,0.70771,1.13952,0.0002576,0.0002576,0.0002576
90,18081.8,1.06664,0.56809,1.04027,0.83788,0.86911,0.9124,0.59112,1.31403,0.69046,1.14066,0.0002378,0.0002378,0.0002378
91,18280.7,1.0685,0.53897,1.04723,0.84817,0.8712,0.90887,0.58008,1.30797,0.68708,1.15582,0.000218,0.000218,0.000218
92,18479.8,1.05997,0.52168,1.04278,0.81453,0.89565,0.90694,0.5868,1.31624,0.7094,1.15114,0.0001982,0.0001982,0.0001982
93,18676.5,1.06099,0.51799,1.04602,0.84707,0.87657,0.90815,0.59017,1.30538,0.68884,1.14524,0.0001784,0.0001784,0.0001784
94,18873,1.03702,0.50553,1.0356,0.84008,0.87393,0.90964,0.5928,1.30173,0.69947,1.13812,0.0001586,0.0001586,0.0001586
95,19071.7,1.0338,0.49029,1.02199,0.83698,0.88175,0.90886,0.59277,1.3004,0.69971,1.14377,0.0001388,0.0001388,0.0001388
96,19283.3,1.03895,0.49024,1.0361,0.83941,0.8696,0.90834,0.58978,1.30748,0.70259,1.14797,0.000119,0.000119,0.000119
97,19529.7,1.02518,0.49491,1.02403,0.8456,0.8712,0.91193,0.59354,1.30348,0.69232,1.14327,9.92e-05,9.92e-05,9.92e-05
98,19749.7,1.02091,0.4923,1.02698,0.84737,0.86225,0.90841,0.58983,1.30791,0.70539,1.14445,7.94e-05,7.94e-05,7.94e-05
99,19967.2,1.01999,0.48282,1.02831,0.84593,0.86583,0.90971,0.59199,1.31119,0.71361,1.1441,5.96e-05,5.96e-05,5.96e-05
100,20192.1,1.0222,0.4827,1.03276,0.84417,0.86248,0.91044,0.59382,1.30667,0.70936,1.14348,3.98e-05,3.98e-05,3.98e-05
